tick,agent_id,x,y,color
6,261,10.5488,-12.7063,5
6,45,-27,-8,2
6,81,10.7936,15.1506,3
6,429,12.6189,-15.0377,5
6,437,17,1,3
6,325,16,-1,7
6,209,8,16,3
6,369,-1.98428,-16.9086,5
6,337,12.9703,16.0122,3
6,89,11,9,3
6,77,13.4886,8.63879,3
6,177,21,11,3
6,309,-10,-10,2
6,169,13,-2,7
6,421,4.26596,-1.31777,7
6,273,13,11,3
6,329,2.649,-21.6037,5
6,145,12,8,3
6,29,-22.942,0.200615,2
6,393,12.975,16.0382,3
6,49,11.7841,10.7737,3
6,221,-14,-15,5
6,433,12,19,3
6,173,13,3,0
6,409,4.09769,16.0252,6
6,201,12.9737,16.0024,3
6,97,-7,-10,2
6,37,11.9378,9.7238,3
6,141,-3,-14,5
6,161,4,4,7
6,241,-5.47724,-18.72,5
6,341,11,-20,5
6,397,-10.6527,-0.759627,2
6,53,-6.60952,11.0361,1
6,233,12,4,3
6,189,12,10,3
6,61,-4,2,7
6,193,10,5,3
6,269,-14,12,4
6,357,-7.78349,8.17872,1
6,109,13,-1,7
6,13,11,6,3
6,181,2,-1,7
6,245,0,-19,5
6,321,3.21941,-1.18457,7
6,361,-12.9602,-1.19864,2
6,401,3.28255,-1.07213,7
6,57,9.13765,-8.79865,7
6,405,3.87656,1.29897,7
6,365,-16.4227,-1.17142,2
6,165,5.88621,-23.7279,5
6,25,6.59689,2.74051,7
6,301,12.0997,15.6896,3
6,253,8.41373,-5.8129,7
6,205,13,11,3
6,345,-4,2,7
6,377,-20,0,2
6,85,9,5,7
6,425,12,-11,7
6,213,3,4,7
6,381,6.84792,-0.971864,7
6,389,-13.0313,-1.20638,2
6,353,1.94881,-0.743024,7
6,333,4.73024,15.2676,6
6,257,3.28255,-1.07213,7
6,113,12,8,3
6,93,13,-13,5
7,157,6,-14,5
7,205,13,11,3
7,401,3.28255,-1.07213,7
7,229,-7,-7,2
7,437,16.698,0.0466937,7
7,241,-3.84521,-19.2787,5
7,201,12.9708,16.0028,3
7,301,12.4763,15.4787,3
7,5,3,-17,5
7,337,12.9621,16.0174,3
7,321,3.24512,-1.1922,7
7,237,12,2,7
7,93,12.1157,-12.653,5
7,197,7,5,7
7,309,-10,-10,2
7,185,9.781,-7.14365,7
7,33,-49,-1,4
7,113,12,8,3
7,405,4.05255,-0.0939926,7
7,445,12,17,3
7,345,-4,2,7
7,13,11,6,3
7,105,11.9582,10.7958,3
7,117,17,-13,5
7,257,3.28255,-1.07213,7
7,193,9.31926,3.41124,7
7,221,-14,-15,5
7,253,7.84737,-4.27139,7
7,29,-20.9568,-0.0358022,2
7,61,-4,2,7
7,361,-13.0313,-1.20638,2
7,385,17,-19,5
7,389,-13.0313,-1.20638,2
7,85,9,5,7
7,441,8,-24,5
7,45,-24.371,-6.68536,2
7,69,10.3507,9.28231,3
7,377,-20,0,2
7,141,-3,-14,5
7,81,11.0418,13.9648,3
7,177,21,11,3
7,65,13,0,7
7,261,9.85269,-12.4316,5
7,429,10.8061,-15.7907,5
7,433,12,19,3
7,417,10,4,7
7,189,12,10,3
7,149,11,-11,7
7,425,12,-11,7
7,297,16,-2,0
7,89,11,9,3
7,153,4,14,6
7,289,-4,-9,7
7,161,4,4,7
7,225,12,8,3
7,109,13,-1,7
7,397,-10.775,-0.502975,2
7,129,-17,12,4
7,73,12.2687,11.1453,3
7,413,0,-11,5
7,41,9.05457,-15.4588,5
7,369,-1.09614,-17.2723,5
7,317,5.21243,-0.518819,7
7,101,13,11,3
7,409,3.43835,15.8201,6
7,373,3,-6,7
7,181,2,-1,7
7,213,3,4,7
7,25,6.30191,1.26093,7
7,329,2.14018,-21.2582,5
7,49,11.7213,10.7909,3
7,57,7.91752,-7.21406,7
7,37,12.1079,8.873,3
7,305,-1,-2,7
7,325,16,-1,7
7,381,6.42223,-0.358079,7
7,313,-12,13,1
7,393,12.975,16.0382,3
7,173,13,3,0
7,9,12,9,3
7,281,11,9,3
7,233,12,4,3
7,145,12,8,3
7,21,12,8,3
7,365,-14.4233,-1.17247,2
7,1,10.5861,10.131,3
7,349,10,10,3
7,53,-7.63548,10.6479,1
7,249,2.82742,-1.03475,7
7,97,-7,-10,2
7,277,-4,-14,5
7,169,13,-2,7
7,121,10.706,-6.64368,7
7,357,-7.62824,10.071,1
7,273,13,11,3
7,217,13,7,3
7,245,0,-19,5
7,125,-2,-13,5
7,353,3.28255,-1.07213,7
7,341,11,-20,5
7,17,-6.17586,11.3475,1
7,285,5.03154,-10.0803,7
7,269,-12.0041,11.8914,1
