x,y,color,centroid_x,centroid_y
-44,29,0,-50,-50
-44,30,0,-50,-50
-44,31,0,-50,-50
-44,32,0,-50,-50
-44,33,4,-23.5561,16.2664
-44,34,0,-50,-50
-44,35,0,-50,-50
-44,36,0,-50,-50
-44,37,0,-50,-50
-44,38,4,-23.5561,16.2664
-44,39,0,-50,-50
-44,40,0,-50,-50
-44,41,0,-50,-50
-44,42,0,-50,-50
-44,43,0,-50,-50
-44,44,0,-50,-50
-44,45,0,-50,-50
-44,46,0,-50,-50
-44,47,0,-50,-50
-44,48,0,-50,-50
-44,49,0,-50,-50
-43,-49,0,-50,-50
-43,-48,0,-50,-50
-43,-47,0,-50,-50
-43,-46,0,-50,-50
-43,-45,0,-50,-50
-43,-44,0,-50,-50
-43,-43,0,-50,-50
-43,-42,0,-50,-50
-43,-41,0,-50,-50
-43,-40,0,-50,-50
-43,-39,0,-50,-50
-43,-38,0,-50,-50
-43,-37,0,-50,-50
-43,-36,0,-50,-50
-43,-35,0,-50,-50
-43,-34,0,-50,-50
-43,-33,0,-50,-50
-43,-32,0,-50,-50
-43,-31,0,-50,-50
-43,-30,0,-50,-50
-43,-29,0,-50,-50
-43,-28,0,-50,-50
-43,-27,0,-50,-50
-43,-26,0,-50,-50
-43,-25,0,-50,-50
-43,-24,0,-50,-50
-43,-23,0,-50,-50
-43,-22,0,-50,-50
-43,-21,0,-50,-50
-43,-20,0,-50,-50
-43,-19,0,-50,-50
-43,-18,0,-50,-50
-43,-17,0,-50,-50
-43,-16,0,-50,-50
-43,-15,0,-50,-50
-43,-14,0,-50,-50
-43,-13,0,-50,-50
-43,-12,0,-50,-50
-43,-11,0,-50,-50
-43,-10,0,-50,-50
-43,-9,4,-23.5561,16.2664
-43,-8,0,-50,-50
-43,-7,0,-50,-50
-43,-6,0,-50,-50
-43,-5,0,-50,-50
-43,-4,0,-50,-50
-43,-3,4,-23.5561,16.2664
-43,-2,0,-50,-50
-43,-1,0,-50,-50
-43,0,0,-50,-50
-43,1,0,-50,-50
-43,2,0,-50,-50
-43,3,0,-50,-50
-43,4,0,-50,-50
-43,5,0,-50,-50
-43,6,4,-23.5561,16.2664
-43,7,0,-50,-50
-43,8,0,-50,-50
-43,9,4,-23.5561,16.2664
-43,10,0,-50,-50
-43,11,0,-50,-50
-43,12,0,-50,-50
-43,13,4,-23.5561,16.2664
-43,14,0,-50,-50
-43,15,4,-23.5561,16.2664
-43,16,0,-50,-50
-43,17,0,-50,-50
-43,18,0,-50,-50
-43,19,0,-50,-50
-43,20,4,-23.5561,16.2664
-43,21,4,-23.5561,16.2664
-43,22,0,-50,-50
-43,23,4,-23.5561,16.2664
-43,24,0,-50,-50
-43,25,4,-23.5561,16.2664
-43,26,4,-23.5561,16.2664
-43,27,4,-23.5561,16.2664
-43,28,4,-23.5561,16.2664
-43,29,0,-50,-50
-43,30,4,-23.5561,16.2664
-43,31,0,-50,-50
-43,32,0,-50,-50
-43,33,0,-50,-50
-43,34,0,-50,-50
-43,35,0,-50,-50
-43,36,0,-50,-50
-43,37,0,-50,-50
-43,38,0,-50,-50
-43,39,0,-50,-50
-43,40,0,-50,-50
-43,41,0,-50,-50
-43,42,0,-50,-50
-43,43,0,-50,-50
-43,44,0,-50,-50
-43,45,0,-50,-50
-43,46,0,-50,-50
-43,47,0,-50,-50
-43,48,0,-50,-50
-43,49,0,-50,-50
-42,-49,0,-50,-50
-42,-48,0,-50,-50
-42,-47,0,-50,-50
-42,-46,0,-50,-50
-42,-45,0,-50,-50
-42,-44,0,-50,-50
-42,-43,0,-50,-50
-42,-42,0,-50,-50
-42,-41,0,-50,-50
-42,-40,0,-50,-50
-42,-39,0,-50,-50
-42,-38,0,-50,-50
-42,-37,0,-50,-50
-42,-36,0,-50,-50
-42,-35,0,-50,-50
-42,-34,0,-50,-50
-42,-33,0,-50,-50
-42,-32,0,-50,-50
-42,-31,0,-50,-50
-42,-30,0,-50,-50
-42,-29,0,-50,-50
-42,-28,0,-50,-50
-42,-27,0,-50,-50
-42,-26,0,-50,-50
-42,-25,0,-50,-50
-42,-24,0,-50,-50
-42,-23,0,-50,-50
-42,-22,0,-50,-50
-42,-21,0,-50,-50
-42,-20,0,-50,-50
-42,-19,0,-50,-50
-42,-18,0,-50,-50
-42,-17,0,-50,-50
-42,-16,0,-50,-50
-42,-15,0,-50,-50
-42,-14,0,-50,-50
-42,-13,0,-50,-50
-42,-12,0,-50,-50
-42,-11,4,-23.5561,16.2664
-42,-10,0,-50,-50
-42,-9,0,-50,-50
-42,-8,0,-50,-50
-42,-7,0,-50,-50
-42,-6,0,-50,-50
-42,-5,0,-50,-50
-42,-4,4,-23.5561,16.2664
-42,-3,0,-50,-50
-42,-2,0,-50,-50
-42,-1,0,-50,-50
-42,0,0,-50,-50
-42,1,0,-50,-50
-42,2,0,-50,-50
-42,3,0,-50,-50
-42,4,0,-50,-50
-42,5,0,-50,-50
-42,6,0,-50,-50
-42,7,4,-23.5561,16.2664
-42,8,0,-50,-50
-42,9,0,-50,-50
-42,10,4,-23.5561,16.2664
-42,11,4,-23.5561,16.2664
-42,12,0,-50,-50
-42,13,0,-50,-50
-42,14,0,-50,-50
-42,15,4,-23.5561,16.2664
-42,16,4,-23.5561,16.2664
-42,17,4,-23.5561,16.2664
-42,18,0,-50,-50
-42,19,4,-23.5561,16.2664
-42,20,0,-50,-50
-42,21,4,-23.5561,16.2664
-42,22,4,-23.5561,16.2664
-42,23,0,-50,-50
-42,24,0,-50,-50
-42,25,0,-50,-50
-42,26,0,-50,-50
-42,27,4,-23.5561,16.2664
-42,28,0,-50,-50
-42,29,0,-50,-50
-42,30,0,-50,-50
-42,31,0,-50,-50
-42,32,0,-50,-50
-42,33,0,-50,-50
-42,34,0,-50,-50
-42,35,4,-23.5561,16.2664
-42,36,0,-50,-50
-42,37,0,-50,-50
-42,38,0,-50,-50
-42,39,0,-50,-50
-42,40,0,-50,-50
-42,41,0,-50,-50
-42,42,0,-50,-50
-42,43,0,-50,-50
-42,44,0,-50,-50
-42,45,0,-50,-50
-42,46,0,-50,-50
-42,47,0,-50,-50
-42,48,0,-50,-50
-42,49,0,-50,-50
-41,-49,0,-50,-50
-41,-48,0,-50,-50
-41,-47,0,-50,-50
-41,-46,0,-50,-50
-41,-45,0,-50,-50
-41,-44,0,-50,-50
-41,-43,0,-50,-50
-41,-42,0,-50,-50
-41,-41,0,-50,-50
-41,-40,0,-50,-50
-41,-39,0,-50,-50
-41,-38,0,-50,-50
-41,-37,0,-50,-50
-41,-36,0,-50,-50
-41,-35,0,-50,-50
-41,-34,0,-50,-50
-41,-33,0,-50,-50
-41,-32,0,-50,-50
-41,-31,0,-50,-50
-41,-30,0,-50,-50
-41,-29,0,-50,-50
-41,-28,0,-50,-50
-41,-27,0,-50,-50
-41,-26,0,-50,-50
-41,-25,0,-50,-50
-41,-24,0,-50,-50
-41,-23,0,-50,-50
-41,-22,0,-50,-50
-41,-21,0,-50,-50
-41,-20,0,-50,-50
-41,-19,0,-50,-50
-41,-18,0,-50,-50
-41,-17,0,-50,-50
-41,-16,0,-50,-50
-41,-15,0,-50,-50
-41,-14,0,-50,-50
-41,-13,2,-13.0313,-1.20638
-41,-12,0,-50,-50
-41,-11,0,-50,-50
-41,-10,0,-50,-50
-41,-9,4,-23.5561,16.2664
-41,-8,0,-50,-50
-41,-7,0,-50,-50
-41,-6,0,-50,-50
-41,-5,4,-23.5561,16.2664
-41,-4,0,-50,-50
-41,-3,4,-23.5561,16.2664
-41,-2,0,-50,-50
-41,-1,0,-50,-50
-41,0,4,-23.5561,16.2664
-41,1,0,-50,-50
-41,2,0,-50,-50
-41,3,0,-50,-50
-41,4,0,-50,-50
