350,OUT297,9,4.0,10.0
351,OUT302,12,6.0,-10.0
352,OUT303,13,-23.0,5.0
353,OUT310,0,-5.0,1.0
354,OUT314,3,11.0,-5.0
355,OUT315,1,5.0,-13.0
356,OUT316,7,7.0,-4.0
357,OUT317,5,-9.0,8.0
358,OUT318,8,3.0,9.0
359,OUT321,16,3.0,24.0
360,OUT322,12,7.0,-13.0
361,OUT323,2,-17.0,-1.0
362,OUT324,2,-6.0,-7.0
363,OUT325,7,2.0,5.0
364,OUT326,0,-4.0,-17.0
365,OUT327,1,-28.0,-2.0
366,OUT329,13,7.0,12.0
367,OUT330,1,-24.0,8.0
368,OUT331,1,3.0,5.0
369,OUT333,1,-5.0,-15.0
370,OUT335,9,1.0,-15.0
371,OUT337,1,16.0,2.0
372,OUT338,4,8.0,-4.0
373,OUT339,16,3.0,-6.0
374,OUT340,15,13.0,11.0
375,OUT341,14,-27.0,-8.0
376,OUT342,2,16.0,-12.0
377,OUT343,8,-20.0,0.0
378,OUT346,0,11.0,-1.0
379,OUT347,16,13.0,10.0
380,OUT348,1,-1.0,0.0
381,OUT350,3,12.0,-4.0
382,OUT352,15,4.0,12.0
383,OUT354,12,8.0,17.0
384,OUT355,7,3.0,14.0
385,OUT358,13,17.0,-19.0
386,OUT361,1,-15.0,3.0
387,OUT362,1,-20.0,-8.0
388,OUT363,1,29.0,1.0
389,OUT364,0,-16.0,1.0
390,OUT365,17,2.0,3.0
391,OUT369,3,3.0,0.0
392,OUT371,1,-5.0,-17.0
393,OUT372,0,10.0,17.0
394,OUT373,6,0.0,-12.0
395,OUT375,18,11.0,6.0
396,OUT378,1,12.0,4.0
397,OUT379,2,-7.0,1.0
398,OUT380,6,14.0,7.0
399,OUT383,11,-3.0,-22.0
400,OUT384,16,-18.0,17.0
401,OUT385,5,3.0,-4.0
402,OUT389,0,8.0,-24.0
403,OUT390,0,2.0,2.0
404,OUT392,3,13.0,-11.0
405,OUT396,0,2.0,6.0
406,OUT399,12,15.0,11.0
407,OUT400,0,4.0,-17.0
408,OUT402,7,11.0,19.0
409,OUT403,5,4.0,14.0
410,OUT405,8,15.0,-1.0
411,OUT407,3,-6.0,8.0
412,OUT408,9,13.0,-4.0
413,OUT411,11,0.0,-11.0
414,OUT412,0,2.0,-11.0
415,OUT420,5,0.0,-8.0
416,OUT424,18,-2.0,-3.0
417,OUT437,13,10.0,4.0
418,OUT516,0,11.0,-11.0
419,OUT518,17,12.0,8.0
420,OUT520,11,4.0,7.0
421,OUT522,4,7.0,-2.0
422,OUT524,12,-2.0,3.0
423,OUT530,10,17.0,-19.0
424,OUT533,7,-9.0,-9.0
425,OUT534,10,12.0,-11.0
426,OUT535,15,18.0,-14.0
427,OUT537,3,3.0,8.0
428,OUT538,19,11.0,-11.0
429,OUT539,0,17.0,-13.0
430,OUT545,8,16.0,-12.0
431,OUT546,0,8.0,-8.0
432,OUT548,0,-11.0,2.0
433,OUT549,15,12.0,19.0
434,OUT554,18,10.0,15.0
435,OUT557,5,-18.0,5.0
436,OUT558,1,17.0,-13.0
437,OUT559,7,17.0,1.0
438,OUT560,2,26.0,7.0
439,OUT564,0,17.0,-13.0
440,OUT566,12,-20.0,-8.0
441,OUT567,15,8.0,-24.0
442,OUT568,0,18.0,-13.0
443,OUT569,5,0.0,-27.0
444,OUT572,16,-18.0,18.0
445,OUT573,15,12.0,17.0
446,OUT577,3,15.0,-14.0
